City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
174,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
175,San Juan,AR,69.44,few clouds,-31.5375,-68.5364,Hotel Provincial
177,Bengkulu,ID,83.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
180,Coquimbo,CL,60.53,broken clouds,-29.9533,-71.3436,Hotel San Juan
184,Sambava,MG,75.33,overcast clouds,-14.2667,50.1667,Melrose
188,Bredasdorp,ZA,65.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
189,Maddela,PH,76.55,overcast clouds,16.3414,121.6849,Tolentino bridal entourage
190,New Norfolk,AU,72.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
193,Hualmay,PE,73.35,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
194,Hasaki,JP,64.8,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
196,Le Port,RE,76.24,overcast clouds,-20.9373,55.2919,KORBEY D'OR OUEST
202,Kirakira,SB,83.53,moderate rain,-10.4544,161.9205,SanBiz Lodge
204,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
205,Emerald,AU,89.74,overcast clouds,-23.5333,148.1667,The Irish Village
209,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
210,Marawi,PH,83.7,overcast clouds,7.9986,124.2928,Derogongan Residence
212,Kambove,CD,61.34,light rain,-10.8764,26.5969,Couvant des soeurs catholiques
213,Maine-Soroa,NE,69.94,clear sky,13.2114,12.0241,Complexe
217,Mana,GF,75.83,overcast clouds,5.6592,-53.7767,LE SAMANA
220,Ponta Do Sol,PT,63.05,broken clouds,32.6667,-17.1,Hotel do Campo
224,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
226,Gilbues,BR,74.07,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
231,Vangaindrano,MG,73.36,light rain,-23.35,47.6,Hotel Fanilo
232,Menongue,AO,63.82,moderate rain,-14.6585,17.691,Ritz Lauca
235,Chabahar,IR,75.61,broken clouds,25.2919,60.643,هتل گدروشیا
236,Bom Jardim,BR,72.05,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
238,Quelimane,MZ,75.06,moderate rain,-17.8786,36.8883,Hotel Flamingo
