City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
232,Menongue,AO,-14.6585,17.691,63.82,99,100,0.65,moderate rain
233,Yumen,CN,40.2833,97.2,55.42,16,100,7.85,overcast clouds
234,Winnemucca,US,40.973,-117.7357,41.02,33,34,4.36,scattered clouds
235,Chabahar,IR,25.2919,60.643,75.61,73,80,0.72,broken clouds
236,Bom Jardim,BR,-7.7958,-35.5872,72.05,88,64,1.86,broken clouds
237,Sistranda,NO,63.7256,8.834,40.96,58,0,6.64,clear sky
238,Quelimane,MZ,-17.8786,36.8883,75.06,96,100,5.88,moderate rain
239,Isangel,VU,-19.55,169.2667,82.29,75,33,2.01,light rain
240,Arraial Do Cabo,BR,-22.9661,-42.0278,77.45,88,0,24.18,clear sky
241,Veraval,IN,20.9,70.3667,81.93,36,0,10.22,clear sky
242,Cherskiy,RU,68.75,161.3,5.34,80,67,3.42,broken clouds
243,Luanda,AO,-8.8368,13.2343,79.21,78,100,5.82,overcast clouds
244,Tagusao,PH,9.1924,117.8141,84.54,68,99,1.21,overcast clouds
245,Rantepao,ID,-2.9701,119.8978,84.72,55,88,2.82,overcast clouds
246,Mazatlan,MX,23.2167,-106.4167,65.91,80,0,10.0,clear sky
247,Benguela,AO,-12.5763,13.4055,77.32,84,100,2.98,overcast clouds
248,Baniyas,SY,35.1819,35.9487,47.59,67,100,16.2,light rain
249,Kismayo,SO,-0.3582,42.5454,77.63,79,5,13.87,clear sky
250,Lima,PE,-12.0432,-77.0282,71.38,56,0,9.22,clear sky
251,Kahului,US,20.8947,-156.47,77.85,76,12,8.99,few clouds
252,Pisco,PE,-13.7,-76.2167,70.93,85,81,3.51,broken clouds
253,Haines Junction,CA,60.7522,-137.5108,26.31,98,100,2.28,light snow
254,Nevsehir,TR,38.9167,34.6667,20.41,74,75,3.44,broken clouds
255,San Cristobal,VE,7.7669,-72.225,65.7,95,65,2.44,broken clouds
256,Avera,US,33.194,-82.5271,55.38,97,100,4.88,overcast clouds
257,Shingu,JP,33.7333,135.9833,68.34,49,30,4.92,scattered clouds
258,Salamiyah,SY,35.0113,37.0532,37.81,94,100,12.21,overcast clouds
259,Pacifica,US,37.6138,-122.4869,61.75,54,0,5.46,clear sky
260,Atherton,GB,53.5237,-2.4935,48.88,85,100,5.01,overcast clouds
261,Broome,US,42.2506,-75.833,47.46,71,100,11.01,overcast clouds
262,Severo-Yeniseyskiy,RU,60.3725,93.0408,-8.21,93,95,2.15,overcast clouds
263,Baie-Comeau,CA,49.2168,-68.1489,19.08,73,100,14.97,overcast clouds
264,Port Hedland,AU,-20.3167,118.5667,102.25,22,5,12.66,clear sky
265,Chimbarongo,CL,-34.7,-71.05,67.08,46,0,0.92,clear sky
266,Kashi,CN,39.4547,75.9797,54.59,24,72,2.21,broken clouds
267,Kiomboi,TZ,-4.2667,34.3667,59.45,78,74,2.89,broken clouds
268,Kharp,RU,66.8014,65.8081,0.28,95,100,1.52,overcast clouds
269,Ilulissat,GL,69.2167,-51.1,5.02,72,75,4.61,broken clouds
270,Manyana,BW,-23.4,21.7167,66.81,52,3,8.43,clear sky
271,Maragogi,BR,-9.0122,-35.2225,77.65,73,99,3.22,overcast clouds
272,Lagos,NG,6.5833,3.75,72.82,90,100,3.42,overcast clouds
273,Alyth,GB,56.6221,-3.2301,46.44,95,91,8.63,overcast clouds
274,Astana,KZ,51.1801,71.446,8.55,78,40,24.61,scattered clouds
275,Katherine,AU,-14.4667,132.2667,89.92,58,52,5.75,broken clouds
276,Upernavik,GL,72.7868,-56.1549,-17.81,100,100,8.48,overcast clouds
277,Ereymentau,KZ,51.6199,73.1033,6.22,94,100,16.93,overcast clouds
278,Srednekolymsk,RU,67.45,153.6833,5.34,87,99,11.01,overcast clouds
279,Aksu,CN,41.1231,80.2644,52.45,25,68,2.44,broken clouds
280,Hokitika,NZ,-42.7167,170.9667,65.5,64,33,13.22,scattered clouds
281,Ambon,ID,-3.6954,128.1814,87.94,74,20,3.44,few clouds
282,Leeton,AU,-34.5667,146.4,87.89,47,36,11.5,scattered clouds
283,Seoul,KR,37.5683,126.9778,60.37,48,75,4.61,mist
284,Okha,RU,53.5739,142.9478,21.22,85,93,7.38,overcast clouds
285,Kalianget,ID,-7.05,113.9333,84.76,71,74,8.03,broken clouds
286,Baruun-Urt,MN,46.6806,113.2792,30.27,48,29,20.38,scattered clouds
287,Temiscaming,CA,46.7212,-79.0971,12.79,99,100,2.06,overcast clouds
288,Pimentel,PE,-6.8367,-79.9342,72.72,80,60,9.42,broken clouds
289,Black Diamond,US,47.3087,-122.0032,49.26,68,100,1.01,overcast clouds
290,Vilhena,BR,-12.7406,-60.1458,69.06,98,100,0.72,overcast clouds
291,Olinda,BR,-8.0089,-34.8553,79.09,72,100,3.8,overcast clouds
292,Okhotsk,RU,59.3833,143.3,18.61,74,100,15.32,overcast clouds
293,Kamarion,GR,36.8,25.8167,39.74,56,100,25.68,overcast clouds
294,Da Lat,VN,11.9465,108.4419,74.01,48,96,2.37,overcast clouds
295,Harper,LR,4.375,-7.7169,79.32,88,51,6.06,broken clouds
296,Barentin,FR,49.5453,0.9552,48.13,84,60,18.61,broken clouds
297,Lakatoro,VU,-16.0999,167.4164,84.24,70,30,4.34,scattered clouds
298,Mount Gambier,AU,-37.8333,140.7667,71.51,40,0,8.05,clear sky
299,Tukan,RU,53.8409,57.4552,-1.08,96,72,3.0,broken clouds
300,Katsuura,JP,35.1333,140.3,60.66,50,0,8.61,clear sky
301,Sur,OM,22.5667,59.5289,79.05,46,87,5.01,overcast clouds
302,Ewa Beach,US,21.3156,-158.0072,79.09,63,5,16.89,clear sky
303,Zhigalovo,RU,54.8097,105.1578,6.94,89,100,0.58,overcast clouds
304,Stokmarknes,NO,68.5646,14.9108,37.53,90,63,8.19,broken clouds
305,Hervey Bay,AU,-25.2986,152.8535,82.02,63,81,10.0,broken clouds
306,Mitsamiouli,KM,-11.3847,43.2844,82.4,70,88,7.81,overcast clouds
307,Artvin,TR,41.1667,41.8333,24.91,95,100,2.55,light snow
308,Aklavik,CA,68.2191,-135.0107,-4.34,89,100,17.45,overcast clouds
309,Beloha,MG,-25.1667,45.05,73.51,89,20,12.08,few clouds
310,Paliambela,GR,40.5114,22.5033,36.88,58,6,2.89,clear sky
311,Urambo,TZ,-5.0667,32.05,64.69,96,67,4.74,broken clouds
312,Pilar,BR,-9.5972,-35.9567,75.13,83,100,3.04,overcast clouds
313,Havoysund,NO,70.9963,24.6622,35.31,99,100,6.02,snow
314,Whyalla,AU,-33.0333,137.5833,80.33,26,0,4.81,clear sky
315,Itacoatiara,BR,-3.1431,-58.4442,74.48,92,99,2.48,light rain
316,Malakal,SS,9.5334,31.6605,81.57,20,98,9.22,overcast clouds
317,Byron Bay,AU,-28.65,153.6167,76.71,56,87,11.27,overcast clouds
318,Kerema,PG,-7.9631,145.7785,83.43,69,95,6.78,overcast clouds
319,Deputatskiy,RU,69.3,139.9,-2.18,91,58,2.86,broken clouds
320,Alofi,NU,-19.0595,-169.9187,80.24,76,99,12.33,moderate rain
321,Kiama,AU,-34.6833,150.8667,75.25,72,100,8.01,overcast clouds
